S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
230,Semence Agricole Consult LTD.,"NO 209, LINE DAN HASSAN, UNGUWAN FULANI, NAIBAWA, KANO.",North West,Kano
231,SHARE Foundation," 14, LASUN ADIGUN STREET OFF RING ROAD,IBADAN",South West,Oyo
232,Sholite Nigeria Limited,"B.C.C.A. Road, P.O.Box 105,Malumfashi, Katsina State",NORTH WEST,KATSINA
233,Shuba & Sons Integral Services Ltd.,"No. 2, Karazau road, S. Gida and Karazau Town, Zamafara State",NORTH WEST,ZAMFARA
234,SIA Farms & Industries LTD.,"TH 26,F1,FCDA QUARTERS, KUBWA,FCT.",North Central,FCT
235,So- Fairs Global Concepts Nig. Ltd.,"Suit A109, Fairtrade Business Complex Wuse, Zone 7, FCT",North Central,FCT
236,Soft seeds & seedling ltd,"lukat house, 8 Sani Abacha way, First Bank, Kano",NORTH WEST,KANO
237,Souvenire Seeds Nig. LTD.,"SUITE 3, ILELAH SHOPPING COMPLEX, BAUCHI.",North East,Bauchi
238,Soy Agricultural Company Ltd,"Plot61, Kuchiko layout, off law school road, Bwari, FCT.",NORTH CENTRAL,FCT
239,Springfield Agro Ltd.,"CHIKANJI INDUSTRIAL ESTATE,ZARIA.",North West,Kaduna
240,Stephens Seeds & Allied Services Nig. Ltd,"E 46, 202, Housing Estate, Maiduguri, Borno state",NORTH EAST,BORNO
241,Strategic Seeds Nig. Ltd.,"NO 1, NNOROM STR,ABAKALIKI.",South East,Ebonyi
242,Succour Integrated Farms Limited,"Kwali Farm Layout, Lekeyi Village, FCT",NORTH CENTRAL,FCT
243,Sylvanus Ejezie Farms,"OMELUGBOMA OKO, OPP OLD TOLL GATE, ASABA.",South South,Delta
244,Syngenta Nig Ltd,"Plot 5, Chief Yesuf Abiodun St, Oniru Rd Victoria Island, Lagos",SOUTH WEST,LAGOS
245,SYNGENTA Nig. Ltd.,"1, MURTALA MUHAMMED DRIVE, LAGOS. .",South West,Lagos
246,Tadef Agriculture and Foods Enterprises,"14, Oke-Aluko Quarters, Oke-Andi, Sango, Ilorin, Kwara State",NORTH CENTRAL,KWARA
247,Tago Agro Venture Ltd,"29 Sokoto Road Sabon gari Local Government Zaria, Kaduna State",NORTHWEST,KADUNA
248,Tak Agro Seeds Ltd,"PLOT 748, CADASTRA ZONE,CO 2 , LIFE CAMP FCT.",North Central,FCT
249,Tarugu Nig Ltd,"No CS32 Tanko Ayuba road, kabala costain, kaduna",NORTH WEST,KADUNA
250,Tecni Seeds Ltd.,"19,BUHARI  SHOPPING COMPLEX HADEJIA,ROAD.KANO",North West,Kano
251,Tirendin Farms Nig. LTD.,"NO 4, JEGA ALIERO ROAD, ALIERO KEBBI STATE.",North West,Kebbi
252,TOWJOS Agric Consult LTD.,"CHUNGBEN VILLAGE, SABON-BARKI, JOS",North Central,Plateau
253,Triseeds International Ltd.,"KM  23, MAKURDI ROAD, BENUE STATE.",North Central,Benue
254,tropical Resources development limited,"S4, kankia street,Anguwar sarki kaduna",NORTHWEST,KADUNA
255,Tukunyar Gwari Seeds Nig. LTD.,"15, OLD HOSPITAL ROAD ,SABO GARI, ZARIA",North West,Kaduna
256,Ugadu Farms &Resort Ltd,"No 3/4 Palace Road, Okwuzi-egbema, Rivers State",SOUTH SOUTH,RIVERS
257,Ultimate Foods Limited,"KM 6, Yola Numan Road, Jimeta, Yola, Adamawa State.",NORTH EAST,ADAMAWA
258,Vancol Cropcare Ltd,"Plot A AG Leventis Iddo, Lagos",SOUTH WEST,LAGOS
259,Veegol Seeds Ltd,C/O COLLEGE OF AGRIC UNIVERSITY OF ILORIN,North Central,Kwara
260,Vegetal Seeds ltd.,"No. 24 Ruwan Godiya Road, Funtua",NORTHWEST,KATSINA
261,Ventol International Services,"24, Tarauni by Maiduguri road, Kano State",NORTH WEST,KANO
262,Ventol Seeds LTD.,"21, LAGOS STREET,KANO.",North West,Kano
263,Wadahi Integrated Farms Ltd,"Km 22, Okene-Lokoja Road, Osara, Kogi State",NORTH CENTRAL,KOGI
264,Wadata Seeds,"No. 32, Kanawa Street, Sabaon Gari, Zaria,  Kaduna State",North West,Kaduna
265,Wedurat Agro Interbiz Nig. Limited,"Last Floor, NUT House, Anguldi-Zawan, Jos South LGA, Plateau State",NORTH CENTRAL,PLATEAU
266,Wilbahi Investment Limited,"3rd Floor, Elizade Plaza, Plot 596, Idependence Avenue, Central Area, FCT",NORTH CENTRAL,FCT
267,Yabanya Seeds Ltd,"56 Sky Memorial Complex, Zoo Road, Kano",NORTH WEST,KANO
268,Yezau Investment Nig Ltd,"151 Damboa road, Opp NNPC Depot, Maiduguri, Borno State",NORTH EAST,BORNO
269,Zango Noma Agro Ventures Ltd,"behind fast track hotel, old Pantisava road. Jalingo",NORTH EAST,TARABA
270,Zaron Seeds,"Shop E6 Hallmark Plaza, Jos",NORTH CENTRAL,PLATEAU
271,Zee Seeds Nig Ltd.,"NO 2, AKU STREET, GRA WUKARI.",North East,Taraba
272,Zeenab agro seed ltd,"82 ralph sodeinde street, FCT.",NORTH CENTRAL,FCT
273,Zisak Farms Consult Limited,"Suit 8, Sheraton Hotel, FCT",NORTH CENTRAL,FCT
274,Agricultural Eagle seeds Ventures.,"No.6, Adom Plaza, Ajibola, U.I., 2nd gate, Orogun, Ibadan, Oyo State.",SOUTH WEST,OYO
275,Agrimart Farms And Foods Network,"No. 2, Efab Estate FCT.",NORTH CENTRAL,FCT
276,Agritropic  limited Nigeria – kano,"No. 129 M. Mohammed Road, Gasham  Building Kano",North West,Kano
277,Bicco- Agro Products Ltd.,"1, ALHERI,LINK OFF ZARIA RD,JOS",North Central,Plateau
278,Dans Agro Industrial Company Limited.,"NIB Building, No. 18, Waff Road, Kaduna, Kaduna State",North West,Kaduna
279,Dizengoff Nigeria,"Dizengoff House, 39 Kudirat Abiola Way, Oregun, Ikeja, Lagos.",SOUTH WEST,LAGOS
280,Excell Seeds Ltd,"No 8B, Sokoto Rd, Zamfara State",NORTH WEST,ZAMFARA
281,Farm Best Agro Nig Ltd,"8A ZOO ROAD, KANO",NORTH WEST,KANO
282,Foodwayz and Vine Concept Limited,"No.46, Enugu Road, Otukpo, Benue State",NORTH CENTRAL,BENUE
283,Gatco Chempharm Ltd.,"NRC PLOT 34 BODIJA LEVEL  CROSSING,IBADAN",South West,Oyo
284,Greentree Global Environmental Services Limited,"No, 3 Peter Sarki Road, Tunga, Minna, Niger State",NORTH CENTRAL,NIGER
285,Isah Agro Seeds and Chemicals Company.,"NO 13,SADAUKI STREET,WUSASA,ZARIA KADUNA",North West,Kaduna
286,Jubaili Agrotech,"Km 10, Hadejia Rd, Gunduwawa Kano",NORTH WEST,FCT
287,Mclord Production Nig. Ltd,"PLOT 5, ALAFIA STREET, ASIN EKITI.",South West,Ekiti
288,Mercy Agro-Allied Nig. Ltd.,"2,SOKOTO ROAD,VIO ZARIA",North West,Kaduna
289,Puma-Isti Resources ltd.,KWAYA ALONG MASAKA.,North Central,Nasarawa
290,Royal seed agriculture nig ltd – ibadan,"6 Egun Jenmi Street, Ibadan, Oyo State",South West,Oyo
291,Sahib Nig. Ltd.,"NO 7/8 IBB ROAD,KANO",North West,Kano
292,Swiss Biostadt Ltd.,"387 AGEGE MOTOR ROAD,CAPPA, LAGOS STATE.",South West,Lagos
293,Tays Food Ltd,"SUITE 20A , SABONDALE SHOPPING COMPLEX,AWOLOWO RD, JABI FCT",NORTH CENTRAL,FCT
294,Adi Farms,"KM 34,FCT – KEFFI RD.",North Central,Plateau
295,Angyushishi Nig. Ltd.,"ADJACENT DELLY PETROL STATION,JALINGO.",North East,Taraba
296,ARV Nig. Ltd,"4, KINDIA CLOSE, WUSE2 FCT.",North Central,FCT
297,Badala Azare (B) Farmers Cooperative Society,"C3C5,ADAMU JUMBA RD, BAUCHI.",North East,Bauchi
298,Boman Farms Nig Ltd.,"KM 10,JALINGO- WUKARA RD, JALINGO.",North East,Taraba
299,Dalas Links Resources Ltd,"NO 10,MARARABA TAKUM RD,DONGA LGA,TARABA STATE",North East,Taraba
300,Delta Agric. Procurement Agency,Delta ADP Ibusa.,South South,Delta
301,Elite Seed Company Limited-  Panda,"Farm 20, Panda Commercial Farms, Panda, Nasarawa State",North Central,Nasarawa
302,Eunimax Farms Nig. Ltd,,South West,Oyo
303,Godilogo Farms Nig. Ltd,"PLOT 808,LIFE CAMP,FCT",North Central,FCT
304,Green Sands Technical Limited,"Damaturu, Yobe",North East,Yobe
305,Green Savannah Ltd.,"WAILO VILLAGE, GANJUWA LGA, BAUCHI.",North East,Bauchi
306,Greenview International Nig. Ltd,"NO 12 , AHMADU BELLO WAY, BAUCHI",North East,Bauchi
307,"Integrated Goldfield Intl, Ltd","14, NAIRU SIKIRU STREET,ABORU, IPAJA, LAGOS",South West,Lagos
308,Matthtech Agro Nig limited,"3c Aliyu Makama Road Barnawa, Kaduna, Kaduna State",North West,Kaduna
309,Mhn Enterprises,"GRORUE-MAYO BELWA ROAD,ADAMAWA STATE.",North East,Adamawa
310,Ogun State Agro Service Corporation,"Asero, Abeokuta",South West,Ogun
311,Sahel Seeds Ltd.,"NO 7, LARABAN TAKUN, DUTSE, NO 8 MAJE ROAD,HADEJIA,JIGAWA.",North West,Jigawa
312,Sunio Plant Nig. Ltd,"AGURA RD, OGBESE, AKURE NORTH, ONDO STATE.",South West,Ondo
313,Tony Best Agric. Centre,Benin,South South,Benin
314,Torsia Industries Ltd.,"SUIT A18, HEART PLAZA, FCT KEFFI EXP. WAY.",North Central,Nasarawa
