S/NO,NAME OF COMPANY,ADDRESS,ZONE,STATE
57,Abjar Agricultural Processing Nig Ltd.,"NO 11, Katsina Road, Funtua, Katsina State",NORTH WEST,KATSINA
58,ABM Universal Concepts Ltd,"Funtua-Yashe Road Near Mainstreet bank, Malumfashi, kastina",NORTH WEST,KASTINA
59,Abmye Farms Ltd.,"Km 12, Ladi Dobi-Lambata road, Gwagalada, FCT",NORTH CENTRAL,FCT
60,Adifa Tropical Farms,"Karlahi, Fufore LGA, JIMETA, YOLA, Adamawa State",North East,Adamawa
61,Agrico Integrated Seeds Company Ltd.,"No 21-23, Hotoro NNPC commercial Layout, Kano State",NORTHWEST,KANO
62,Agriculture Graduates Association of Nigeria,"No. 12 ABK House, Opp Adult Education Centre, Along Bida-Minna Road, Bida, Niger State",NORTH CENTRAL,NIGER
63,Agro Nurseries Limited,"Obuegu Amata, Uburu, Ohaozara LGA, Ebonyi State",SOUTH EAST,EBONYI
64,Agro Nursery LTD.,"EMERALD COURT, FLAT F4,PLOT 959, DAVID EJOOR,QTS, GUDU DISTRICT, FCT",North Central,FCT
65,Akon & Associate LTD.,"CASAVA HOUSE, OPPOSITE MINISTRY OF LANDS & HOUSING, MINNA",North Central,Niger
66,Al – Mubarak Seeds Ltd.,"Old Airport road, Gusau, Zamafara state and No 40 Kastina road, Opp Jamil house, Funtua, Kastina State",NORTH WEST,KATSINA
67,Albit & Agro Consult,"Adamawa Homes and savings Building, 1, Bishop Street, Yola.",NORTH EAST,ADAMAWA
68,AL-BURAQ TEE AND ZEE LTD.,"21 Minna Bye Pass, Minna, Niger",NORTH CENTRAL,NIGER
69,Al-Ganzaki Agricultural Industries Ltd.,"16, SPECIALIST HOSPITAL RD, VIA MUSLIM COUNCIL, JALINGO STATE.",North East,Taraba
70,Alh Babangida Jargaba Nig Ltd,"NO 11, Katsina Road, Funtua, Katsina State",NORTH WEST,KATSINA
71,Alheri Seeds and Global Services,"No. D7 Kabba road, Kaduna",NORTHWEST,KADUNA
72,Al-Mansur-Mansur Abubakar Nig Ltd,"Funtua-Katsina Road, opoosite Motor park, Malumfashi, Katsina State",NORTH WEST,KATSINA
73,Amayindi Farms Limited,"Magajin Gari, After Bida L.G.A, Niger State",NORTH CENTRAL,NIGER
74,Amuram Investments Nig. Ltd,"No 24A, New Jos Road, Kotan Doka, Zaria, Kaduna",NORTHWEST,KADUNA
75,Angelowalker Ltd,"Suit 20, Supreme Plaza, opp Sterling Bank, Ladoke Akintola Bouleverd, Garki II, FCT",NORTH CENTRAL,FCT
76,Anjorin Associates Ltd,"Plot 321, Lugbe Phase 1, Layout, Lugbe, FCT",NORTH CENTRAL,FCT
77,ANNOOR GLOBAL SERVICES LTD,"P.O.Box 151 Funtua, Katsina State, Makera Model Plaza Opoosite Total Filling Station Funtua, Sokoto Road, Funtua, Kastina",NORTH WEST,KATSINA
78,Ardo Investment and Property Ltd.,"Duma Plaza, Opp Bauchi Motor Park, Gombe",NORTH EAST,GOMBE
79,Arziki Seeds Nig. LTD,"NO12, SARKIN KAFI HOUSE, IBRAHIM ALIYU BYE PASS DUTSE,JIGAWA",North West,Jigawa
80,Aseofo Seeds Ltd.,"NO 5, BEHIND MINI STADIUM, JOS ROAD, LAFIA,NASARAWA STATE.",North Central,Nasarawa
81,Asma’u Memorial Farm Limited,"No. 10 Aminu Galadima Way, Jimeta – Yola",North East,Adamawa
82,Association of Sesame farmers of Nigeria,"No 1, Kaduna Road, Bank of Agriculture Plaza, Bauchi State.",NORTH WEST,BAUCHI
83,Atafi Agro Merchandise Services LTD.,"3, MALLAM MADORI RD, OPPOSITE POICE BARRACK, HADEJIA.",North West,Kano
84,Aurodo Patum InternationaL Limitel,"No. 1, Arab Road, Kubwa, FCT",NORTH CENTRAL,FCT
85,Ayita Investment Ltd,"PLOT 45, MANCHESTER STR. ZARIA.",North West,Kaduna
86,B.S. & Sons  Limited,"PLOT 386, ZONE 7, PHASE 3, GWAGWALADA FCT.",North Central,FCT
87,Babmus seeds ltd,"ZS 15 zoo road, kano",NORTH WEST,KANO
88,Bagauda Agro Inputs Limited,"Plot 269, Tawakali House, Maiduguri Road, Kano",NORTH WEST,KANO
89,BDU Ventures Ltd.,"kwanan Gishiri village maraba Gugai, Giwa L.G.A, Zaria, Kaduna State",NORTHWEST,KADUNA
90,Benonee Nig. Ltd.,"13A AIRPORT ROAD OPP ST THOMAS CATHOLIC CHURCH KANO, NIGERIA.",North West,Kano
91,Benray Agro Seeds Nig. Limited,"SSQ 365, Phase II, Gwagawalada, FCT",NORTH CENTRAL,FCT
92,Boetz International limited,"No.30 Democracy Cresent, Gaduwa Estate, FCT",NORTH CENTRAL,FCT
93,Booster Nig. Ltd.,"4, BASIN ROAD, OGBOJA OGOJA, CROSS RIVER STATE.",South South,Cross River State
94,Bucharest Integrated Systems Limited,"No. 3 Peter Sarki Road Tunga, Minna, Niger State",NORTH CENTRAL,NIGER
95,Bumfash Nig.Ltd,"No 14 Toleb Street, Gwagwalada, FCT",North Central,FCT
96,Candel Seeds Ltd,"KUDENDA INDUSTRIAL, Kaduna",North West,Kaduna
97,Capital Agricultural Development Ltd.,"KWALI,FCT.",North Central,FCT
98,Ceed Global Ventures Ltd,"PLOT 161, GRAZANGO, KUBWA,FCT.",North Central,FCT
99,Champion Seeds,"Jos Raod, Zaria, P.O. Box 587, Zaria, Kaduna State.",North West,Kaduna
