Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23307.89542,25020.11999,25659.43878,26532.52747,27712.91003,27707.43423,27558.81608,29223.23688,29508.86227,29716.83431,32026.97274,31064.35565,29847.92835,30356.04527,33050.90338,34051.4928,35168.56147,36619.58803,37247.9805,33553.882,32625.49269,34324.79936,33567.55002,36829.03277,36779.42943,37311.75032,37585.02508,38897.12267,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707.477835,1715.662946,1671.694432,1658.553753,1680.411854,1744.692508,1826.610029,1874.575213,1880.768596,1912.197592,1969.533082,2033.223921,2091.735514,2144.215402,2265.391999,2422.431622,2601.297736,2791.79645,2911.079621,2899.931536,3002.385242,3117.244978,3076.278888,3197.542389,3354.646513,3372.021028,3454.156392,3544.280327,3639.14338,3693.060392,3548.209824
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0142683,927.857548,925.4414292,1023.051749,1077.76154,1228.703863,1272.572975,1519.692923,1710.575411,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.635648,2152.366489,2087.636394
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.172677,1717.737616,1756.166541,1731.860026,1719.4276,1743.963477,1809.051257,1859.426665,1896.819184,1902.774299,1961.847031,2062.214498,2241.118115,2353.914359,2539.739386,2701.14048,2851.438307,3007.02244,3166.399227,3293.052297,3456.532771,3606.242547,3711.719308,3944.956892,4110.181048,4117.328595,4050.631011,4099.559666,4214.041835,4317.580152,4222.992668
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281.31385,3313.888758,3088.53372,2326.646193,2331.703879,2651.020473,2968.243068,3136.516286,3215.105619,3226.128142,3289.409549,3389.196967,3785.150322,3838.795052,4225.467927,4837.709827,5362.019843,6050.610555,6607.291634,6470.675244,6587.986939,6710.750623,7412.967035,7682.475386,8179.297828,7337.569822,7103.226431,7310.896589,7099.971958,6952.419362,6538.452054
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.845764,1908.644331,1822.859076,2056.943453,2289.309748,2665.109037,2979.33309,2716.693558,3020.930573,3471.656359,3862.484378,4301.38283,4661.379143,4994.924693,5423.201684,5865.317591,6557.801337,7274.524685,8228.32756,8819.510092,9636.108705,10207.7335,10526.31897,10570.9681,11259.2967,11658.86606,12078.80073,12770.97504,13546.48169,14230.98951,13817.75897
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6849.687841,7416.987151,7818.73076,8015.635402,8209.613284,8343.497142,8680.267943,8994.517628,9398.135855,9521.072272,10169.51701,10333.35095,10302.66604,10696.76161,11739.33941,12476.46014,13288.09171,13918.38201,14660.7935,14526.67068,15032.60729,15520.8023,16519.00906,16462.82826,16163.9618,14499.89512,14000.74794,14547.39098,14978.34574,15236.06166,14527.04509
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87226.30074,85847.05612,85624.86409,83847.85787,86706.60056,89724.15497,91943.31842,96180.00822,92627.86589,91710.54555,98363.57438,96722.50852,95550.18991,99238.36308,101871.3341,97670.05746,95678.31775,87101.57013,79730.96036,68166.47885,64881.78057,67686.38538,69102.47617,70374.23536,73619.04466,64901.88005,63968.88804,67183.60531,68576.11552,69957.61808,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7195.692106,8005.465074,8719.103242,9532.890941,10175.12601,9969.601171,10586.10997,11507.89541,11949.41866,11581.89051,11618.79323,11226.87975,10052.48826,11025.1861,12214.74071,13568.76921,14951.72895,16570.00783,17404.06914,16334.74081,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23305.84742,22996.98552,20767.6105
